workYear,education,financeStage,companyLogo,district,companyId,explain,industryField,companyLabelList,positionLables,firstType,formatCreateTime,industryLables,companySize,positionName,jobNature,deliver,gradeDescription,companyFullName,createTime,positionId,companyShortName,salary,isSchoolJob,secondType,positionAdvantage
1-3年,本科,上市公司,i/image/M00/94/30/CgpEMlsOEJGAdJYrAAATEPcKnAE261.png,南山区,391524,,教育,"""""","教育,助理,税务,审核",综合职能类,1天前发布,"教育,助理,税务,审核",50-150人,财务专员,全职,0,,深圳火星时代教育科技有限公司,2018-05-31 10:15:53,4655206,火星时代教育,4k-6k,0,财务,"周末双休,年度体检,节日福利"
3-5年,大专,A轮,i/image/M00/21/F8/CgpEMlkQEWqAJ4fgAAFyt1Ip5gA211.png,南山区,201704,,"硬件,移动互联网","带薪年假,绩效奖金,弹性工作,节日礼物","银行,财务,税务,审核",综合职能类,1天前发布,"银行,财务,税务,审核",50-150人,会计,全职,0,,深圳市裂石影音科技有限公司,2018-05-31 09:19:59,4588584,裂石影音,7k-12k,0,财务,"财务,会计"
1年以下,本科,A轮,i/image/M00/48/0D/CgqKkVeRmiOAJSEqAABfbb3kAF4957.png,南山区,54631,,旅游,"年底双薪,绩效奖金,带薪年假,年度旅游","支付,银行,信息安全,财务,税务,统计",综合职能类,11:00发布,"支付,银行,信息安全,财务,税务,统计",50-150人,会计,全职,0,,深圳丝路天地电子商务有限公司,2018-06-01 11:00:44,3497080,丝路天地,5k-8k,0,财务,"周末双休,五险一金"
3-5年,本科,不需要融资,image1/M00/00/26/CgYXBlTUWISAXOyOAABnyVJEJ7A896.jpg,南山区,20727,,游戏,"项目分成,骨干配车,年终奖,免费三餐","经理,财务,税务,审核",综合职能类,1天前发布,,150-500人,会计,全职,0,,深圳淘乐网络科技有限公司,2018-05-31 20:24:36,4459016,淘乐网络,8k-15k,0,财务,"免费三餐,双休,弹性工作制,年终奖"
3-5年,大专,不需要融资,i/image2/M00/18/2D/CgotOVn6pMmAZcwlAAAKR9iHzjI864.jpg,南山区,278615,,电子商务,,财务,综合职能类,1天前发布,,50-150人,会计,全职,0,,深圳百灵鸟信息科技有限公司,2018-05-31 09:34:25,4479188,深圳百灵鸟信息科技有限公司,5k-8k,0,财务,"发展机会多,公司氛围好"
1-3年,不限,不需要融资,i/image3/M00/53/D1/Cgq2xlsOaRyAWD4TAAAdDYvFWh8858.png,龙岗区,395312,,"电子商务,生活服务","""""",,综合职能类,2天前发布,,50-150人,会计,全职,0,,深圳市广兴隆食品有限公司,2018-05-30 17:14:02,4652813,广兴隆,3k-5k,0,财务,"7小时每天,大小休,额外绩效奖,包住"
3-5年,本科,A轮,i/image/M00/46/72/CgpEMlld58-AGO0eAAA533xAkcU791.png,南山区,51491,,旅游,"股票期权,带薪年假,绩效奖金,年度旅游","财务,税务,核算",综合职能类,1天前发布,,150-500人,会计,全职,0,,深圳马可孛罗科技有限公司,2018-05-31 10:25:21,4158788,PKFARE比客,7k-12k,0,财务,"独当一面,团队氛围好,成长大,海外业务"
1-3年,本科,天使轮,i/image3/M00/4F/45/CgpOIFrxXvqAe8ubAAAWS9LG3tA610.png,南山区,125918,,"移动互联网,文化娱乐","股票期权,带薪年假,通讯津贴,交通补助","金融,财务,税务,审核",综合职能类,1天前发布,"金融,财务,税务,审核",15-50人,会计,全职,0,,深圳市墨瞳网络科技有限公司,2018-05-31 10:23:39,4595019,墨瞳网络,5k-8k,0,财务,"开放,双休,成长空间"
1年以下,本科,A轮,i/image/M00/08/9C/CgqKkVbQK42AdMJ-AAIoPDDRTN4951.jpg,南山区,37602,,"移动互联网,企业服务","年底双薪,股票期权,带薪年假,绩效奖金","财务,出纳,税务,成本,资产",综合职能类,1天前发布,,50-150人,会计,全职,0,,深圳欧德蒙科技有限公司,2018-05-31 09:51:52,4288282,欧德蒙,4k-7k,0,财务,"双休,14薪,导师制,氛围宽松"
1-3年,本科,上市公司,i/image/M00/5F/05/Cgp3O1fuKJOAM646AABArXUQueo806.jpg,福田区,6946,,"移动互联网 ,电子商务","技能培训,节日礼物,带薪年假,绩效奖金","财务,税务",综合职能类,2天前发布,,150-500人,会计,全职,0,,深圳华强电子交易网络有限公司,2018-05-30 18:34:29,4619131,华强电子网,4k-7k,0,财务,"平台大,机会多"
